,date_range,DMA,covid_conspiracy,covid_hoax,pizzagate,plandemic,wuhan_lab
0,2020-03-01 2021-01-31,Abilene-Sweetwater TX,0.0,0.0,54.0,12.0,0.0
1,2020-03-01 2021-01-31,Albany GA,0.0,0.0,64.0,10.0,0.0
2,2020-03-01 2021-01-31,Albany-Schenectady-Troy NY,72.0,48.0,45.0,33.0,49.0
3,2020-03-01 2021-01-31,Albuquerque-Santa Fe NM,78.0,38.0,44.0,22.0,21.0
4,2020-03-01 2021-01-31,Alexandria LA,0.0,0.0,42.0,19.0,0.0
5,2020-03-01 2021-01-31,Alpena MI,0.0,0.0,42.0,0.0,0.0
6,2020-03-01 2021-01-31,Amarillo TX,0.0,0.0,74.0,14.0,70.0
7,2020-03-01 2021-01-31,Anchorage AK,0.0,0.0,43.0,55.0,0.0
8,2020-03-01 2021-01-31,Atlanta GA,52.0,45.0,44.0,23.0,37.0
9,2020-03-01 2021-01-31,Augusta GA,0.0,0.0,33.0,31.0,7.0
10,2020-03-01 2021-01-31,Austin TX,77.0,72.0,36.0,36.0,47.0
11,2020-03-01 2021-01-31,Bakersfield CA,0.0,0.0,61.0,11.0,22.0
12,2020-03-01 2021-01-31,Baltimore MD,32.0,31.0,33.0,28.0,49.0
13,2020-03-01 2021-01-31,Bangor ME,0.0,0.0,48.0,32.0,90.0
14,2020-03-01 2021-01-31,Baton Rouge LA,0.0,0.0,60.0,22.0,42.0
15,2020-03-01 2021-01-31,Beaumont-Port Arthur TX,0.0,0.0,64.0,16.0,40.0
16,2020-03-01 2021-01-31,Bend OR,0.0,0.0,57.0,32.0,0.0
17,2020-03-01 2021-01-31,"Billings, MT",0.0,0.0,76.0,12.0,61.0
18,2020-03-01 2021-01-31,Biloxi-Gulfport MS,0.0,0.0,56.0,42.0,42.0
19,2020-03-01 2021-01-31,Binghamton NY,0.0,0.0,30.0,14.0,32.0
20,2020-03-01 2021-01-31,Birmingham AL,47.0,32.0,45.0,32.0,35.0
21,2020-03-01 2021-01-31,Bluefield-Beckley-Oak Hill WV,0.0,0.0,56.0,13.0,64.0
22,2020-03-01 2021-01-31,Boise ID,0.0,73.0,41.0,26.0,63.0
23,2020-03-01 2021-01-31,Boston MA-Manchester NH,66.0,47.0,37.0,33.0,66.0
24,2020-03-01 2021-01-31,Bowling Green KY,0.0,0.0,89.0,36.0,0.0
