,date_range,state,covid conspiracy,covid hoax,pizzagate,plandemic,wuhan lab
0,2020-03-01 2021-01-31,Alabama,52.0,38.0,80.0,57.0,39.0
1,2020-03-01 2021-01-31,Alaska,90.0,94.0,49.0,77.0,46.0
2,2020-03-01 2021-01-31,Arizona,63.0,48.0,79.0,53.0,49.0
3,2020-03-01 2021-01-31,Arkansas,51.0,46.0,79.0,51.0,52.0
4,2020-03-01 2021-01-31,California,54.0,49.0,56.0,58.0,49.0
5,2020-03-01 2021-01-31,Colorado,77.0,67.0,63.0,66.0,35.0
6,2020-03-01 2021-01-31,Connecticut,39.0,49.0,48.0,63.0,64.0
7,2020-03-01 2021-01-31,Delaware,17.0,60.0,78.0,28.0,60.0
8,2020-03-01 2021-01-31,District of Columbia,60.0,45.0,28.0,85.0,79.0
9,2020-03-01 2021-01-31,Florida,50.0,39.0,59.0,45.0,44.0
10,2020-03-01 2021-01-31,Georgia,36.0,38.0,66.0,49.0,36.0
11,2020-03-01 2021-01-31,Hawaii,78.0,54.0,70.0,67.0,55.0
12,2020-03-01 2021-01-31,Idaho,53.0,89.0,69.0,66.0,42.0
13,2020-03-01 2021-01-31,Illinois,67.0,48.0,67.0,64.0,56.0
14,2020-03-01 2021-01-31,Indiana,48.0,67.0,77.0,55.0,55.0
15,2020-03-01 2021-01-31,Iowa,38.0,55.0,59.0,78.0,40.0
16,2020-03-01 2021-01-31,Kansas,39.0,41.0,64.0,62.0,32.0
17,2020-03-01 2021-01-31,Kentucky,50.0,53.0,77.0,63.0,54.0
18,2020-03-01 2021-01-31,Louisiana,58.0,29.0,79.0,43.0,39.0
19,2020-03-01 2021-01-31,Maine,70.0,46.0,62.0,85.0,85.0
20,2020-03-01 2021-01-31,Maryland,36.0,43.0,45.0,59.0,54.0
21,2020-03-01 2021-01-31,Massachusetts,59.0,41.0,54.0,55.0,58.0
22,2020-03-01 2021-01-31,Michigan,54.0,48.0,74.0,69.0,56.0
23,2020-03-01 2021-01-31,Minnesota,82.0,50.0,57.0,94.0,52.0
24,2020-03-01 2021-01-31,Mississippi,34.0,28.0,80.0,31.0,35.0
25,2020-03-01 2021-01-31,Missouri,70.0,54.0,75.0,64.0,43.0
26,2020-03-01 2021-01-31,Montana,27.0,67.0,80.0,100.0,33.0
27,2020-03-01 2021-01-31,Nebraska,78.0,58.0,72.0,81.0,39.0
28,2020-03-01 2021-01-31,Nevada,46.0,62.0,74.0,50.0,42.0
29,2020-03-01 2021-01-31,New Hampshire,92.0,78.0,55.0,65.0,91.0
30,2020-03-01 2021-01-31,New Jersey,46.0,36.0,58.0,64.0,56.0
31,2020-03-01 2021-01-31,New Mexico,59.0,84.0,72.0,55.0,31.0
32,2020-03-01 2021-01-31,New York,42.0,34.0,46.0,52.0,46.0
33,2020-03-01 2021-01-31,North Carolina,58.0,40.0,59.0,51.0,45.0
34,2020-03-01 2021-01-31,North Dakota,100.0,39.0,54.0,85.0,38.0
35,2020-03-01 2021-01-31,Ohio,63.0,41.0,71.0,74.0,49.0
36,2020-03-01 2021-01-31,Oklahoma,51.0,46.0,84.0,47.0,53.0
37,2020-03-01 2021-01-31,Oregon,70.0,65.0,67.0,75.0,43.0
38,2020-03-01 2021-01-31,Pennsylvania,48.0,48.0,68.0,71.0,56.0
39,2020-03-01 2021-01-31,Rhode Island,61.0,63.0,66.0,46.0,57.0
40,2020-03-01 2021-01-31,South Carolina,38.0,43.0,55.0,43.0,36.0
41,2020-03-01 2021-01-31,South Dakota,58.0,61.0,51.0,80.0,14.0
42,2020-03-01 2021-01-31,Tennessee,55.0,52.0,72.0,59.0,43.0
43,2020-03-01 2021-01-31,Texas,40.0,34.0,72.0,45.0,38.0
44,2020-03-01 2021-01-31,Utah,70.0,37.0,100.0,77.0,44.0
45,2020-03-01 2021-01-31,Vermont,55.0,100.0,48.0,79.0,100.0
46,2020-03-01 2021-01-31,Virginia,39.0,43.0,53.0,49.0,51.0
47,2020-03-01 2021-01-31,Washington,63.0,60.0,62.0,81.0,53.0
48,2020-03-01 2021-01-31,West Virginia,55.0,57.0,69.0,67.0,45.0
49,2020-03-01 2021-01-31,Wisconsin,70.0,49.0,59.0,63.0,46.0
50,2020-03-01 2021-01-31,Wyoming,71.0,0.0,61.0,72.0,32.0
