,date_range,DMA,covid conspiracy,covid hoax,pizzagate,plandemic,wuhan lab
0,2020-03-01 2020-03-31,Abilene-Sweetwater TX,0.0,0.0,0.0,0.0,0.0
1,2020-03-01 2020-03-31,Albany GA,0.0,0.0,0.0,0.0,0.0
2,2020-03-01 2020-03-31,Albany-Schenectady-Troy NY,29.0,0.0,0.0,0.0,28.0
3,2020-03-01 2020-03-31,Albuquerque-Santa Fe NM,26.0,39.0,0.0,0.0,6.0
4,2020-03-01 2020-03-31,Alexandria LA,0.0,0.0,0.0,0.0,0.0
5,2020-03-01 2020-03-31,Alpena MI,0.0,0.0,0.0,0.0,0.0
6,2020-03-01 2020-03-31,Amarillo TX,0.0,0.0,40.0,0.0,27.0
7,2020-03-01 2020-03-31,Anchorage AK,0.0,0.0,39.0,0.0,0.0
8,2020-03-01 2020-03-31,Atlanta GA,61.0,21.0,17.0,0.0,16.0
9,2020-03-01 2020-03-31,Augusta GA,0.0,0.0,0.0,0.0,0.0
10,2020-03-01 2020-03-31,Austin TX,60.0,46.0,16.0,0.0,18.0
11,2020-03-01 2020-03-31,Bakersfield CA,0.0,0.0,26.0,0.0,0.0
12,2020-03-01 2020-03-31,Baltimore MD,57.0,11.0,10.0,0.0,10.0
13,2020-03-01 2020-03-31,Bangor ME,0.0,0.0,0.0,0.0,0.0
14,2020-03-01 2020-03-31,Baton Rouge LA,0.0,0.0,0.0,0.0,14.0
15,2020-03-01 2020-03-31,Beaumont-Port Arthur TX,0.0,0.0,0.0,0.0,32.0
16,2020-03-01 2020-03-31,Bend OR,0.0,0.0,78.0,0.0,0.0
17,2020-03-01 2020-03-31,"Billings, MT",0.0,0.0,0.0,0.0,0.0
18,2020-03-01 2020-03-31,Biloxi-Gulfport MS,0.0,0.0,0.0,0.0,33.0
19,2020-03-01 2020-03-31,Binghamton NY,0.0,0.0,54.0,0.0,0.0
20,2020-03-01 2020-03-31,Birmingham AL,25.0,19.0,35.0,0.0,23.0
