,date_range,state,covid_conspiracy,covid_hoax,pizzagate,plandemic,wuhan_lab
0,2020-03-01 2020-03-31,Alabama,29.0,10.0,76.0,0.0,33.0
1,2020-03-01 2020-03-31,Alaska,73.0,80.0,97.0,0.0,100.0
2,2020-03-01 2020-03-31,Arizona,34.0,25.0,60.0,0.0,31.0
3,2020-03-01 2020-03-31,Arkansas,100.0,0.0,11.0,0.0,34.0
4,2020-03-01 2020-03-31,California,41.0,18.0,44.0,18.0,42.0
5,2020-03-01 2020-03-31,Colorado,45.0,42.0,21.0,0.0,22.0
6,2020-03-01 2020-03-31,Connecticut,29.0,52.0,19.0,0.0,46.0
7,2020-03-01 2020-03-31,Delaware,43.0,47.0,28.0,0.0,29.0
8,2020-03-01 2020-03-31,District of Columbia,0.0,0.0,68.0,0.0,0.0
9,2020-03-01 2020-03-31,Florida,19.0,15.0,36.0,0.0,33.0
10,2020-03-01 2020-03-31,Georgia,46.0,18.0,31.0,0.0,43.0
11,2020-03-01 2020-03-31,Hawaii,30.0,33.0,40.0,0.0,0.0
12,2020-03-01 2020-03-31,Idaho,26.0,85.0,17.0,0.0,0.0
13,2020-03-01 2020-03-31,Illinois,44.0,30.0,40.0,0.0,30.0
14,2020-03-01 2020-03-31,Indiana,47.0,15.0,31.0,0.0,32.0
15,2020-03-01 2020-03-31,Iowa,59.0,16.0,10.0,0.0,20.0
16,2020-03-01 2020-03-31,Kansas,32.0,35.0,42.0,0.0,11.0
17,2020-03-01 2020-03-31,Kentucky,69.0,32.0,39.0,0.0,13.0
18,2020-03-01 2020-03-31,Louisiana,21.0,11.0,55.0,0.0,36.0
19,2020-03-01 2020-03-31,Maine,32.0,0.0,42.0,0.0,22.0
20,2020-03-01 2020-03-31,Maryland,23.0,19.0,4.0,0.0,55.0
21,2020-03-01 2020-03-31,Massachusetts,58.0,21.0,29.0,0.0,33.0
22,2020-03-01 2020-03-31,Michigan,24.0,17.0,48.0,0.0,27.0
23,2020-03-01 2020-03-31,Minnesota,48.0,7.0,23.0,0.0,14.0
24,2020-03-01 2020-03-31,Mississippi,58.0,0.0,0.0,0.0,13.0
25,2020-03-01 2020-03-31,Missouri,41.0,30.0,31.0,0.0,33.0
26,2020-03-01 2020-03-31,Montana,0.0,100.0,0.0,0.0,0.0
27,2020-03-01 2020-03-31,Nebraska,82.0,0.0,14.0,0.0,14.0
28,2020-03-01 2020-03-31,Nevada,52.0,28.0,34.0,0.0,18.0
29,2020-03-01 2020-03-31,New Hampshire,87.0,0.0,19.0,0.0,40.0
30,2020-03-01 2020-03-31,New Jersey,38.0,17.0,15.0,0.0,31.0
31,2020-03-01 2020-03-31,New Mexico,64.0,0.0,14.0,0.0,14.0
32,2020-03-01 2020-03-31,New York,28.0,20.0,19.0,0.0,24.0
33,2020-03-01 2020-03-31,North Carolina,54.0,23.0,33.0,0.0,39.0
34,2020-03-01 2020-03-31,North Dakota,0.0,0.0,0.0,0.0,0.0
35,2020-03-01 2020-03-31,Ohio,22.0,11.0,49.0,0.0,20.0
36,2020-03-01 2020-03-31,Oklahoma,76.0,41.0,100.0,0.0,34.0
37,2020-03-01 2020-03-31,Oregon,38.0,41.0,43.0,0.0,32.0
38,2020-03-01 2020-03-31,Pennsylvania,40.0,40.0,36.0,61.0,25.0
39,2020-03-01 2020-03-31,Rhode Island,66.0,72.0,0.0,0.0,45.0
40,2020-03-01 2020-03-31,South Carolina,26.0,9.0,40.0,0.0,0.0
41,2020-03-01 2020-03-31,South Dakota,0.0,62.0,38.0,0.0,0.0
42,2020-03-01 2020-03-31,Tennessee,12.0,7.0,53.0,0.0,29.0
43,2020-03-01 2020-03-31,Texas,29.0,20.0,38.0,0.0,37.0
44,2020-03-01 2020-03-31,Utah,48.0,0.0,39.0,0.0,16.0
45,2020-03-01 2020-03-31,Vermont,66.0,73.0,44.0,0.0,45.0
46,2020-03-01 2020-03-31,Virginia,33.0,18.0,41.0,0.0,40.0
47,2020-03-01 2020-03-31,Washington,85.0,49.0,20.0,100.0,37.0
48,2020-03-01 2020-03-31,West Virginia,0.0,32.0,39.0,0.0,61.0
49,2020-03-01 2020-03-31,Wisconsin,76.0,45.0,59.0,0.0,5.0
50,2020-03-01 2020-03-31,Wyoming,0.0,0.0,56.0,0.0,0.0
51,2020-04-01 2020-04-30,Alabama,44.0,37.0,48.0,0.0,54.0
52,2020-04-01 2020-04-30,Alaska,80.0,44.0,99.0,0.0,19.0
53,2020-04-01 2020-04-30,Arizona,36.0,11.0,16.0,0.0,38.0
54,2020-04-01 2020-04-30,Arkansas,29.0,11.0,73.0,0.0,43.0
55,2020-04-01 2020-04-30,California,38.0,19.0,58.0,4.0,49.0
56,2020-04-01 2020-04-30,Colorado,29.0,24.0,77.0,0.0,46.0
57,2020-04-01 2020-04-30,Connecticut,49.0,30.0,88.0,0.0,43.0
58,2020-04-01 2020-04-30,Delaware,0.0,0.0,89.0,0.0,35.0
59,2020-04-01 2020-04-30,District of Columbia,0.0,54.0,0.0,0.0,48.0
60,2020-04-01 2020-04-30,Florida,25.0,12.0,66.0,4.0,46.0
61,2020-04-01 2020-04-30,Georgia,27.0,26.0,49.0,8.0,37.0
62,2020-04-01 2020-04-30,Hawaii,91.0,61.0,68.0,0.0,80.0
63,2020-04-01 2020-04-30,Idaho,59.0,16.0,0.0,0.0,14.0
64,2020-04-01 2020-04-30,Illinois,35.0,30.0,63.0,0.0,43.0
65,2020-04-01 2020-04-30,Indiana,27.0,21.0,47.0,0.0,47.0
66,2020-04-01 2020-04-30,Iowa,9.0,48.0,85.0,0.0,63.0
67,2020-04-01 2020-04-30,Kansas,54.0,20.0,56.0,0.0,53.0
68,2020-04-01 2020-04-30,Kentucky,47.0,33.0,15.0,0.0,37.0
69,2020-04-01 2020-04-30,Louisiana,31.0,7.0,61.0,0.0,30.0
70,2020-04-01 2020-04-30,Maine,36.0,100.0,44.0,0.0,96.0
71,2020-04-01 2020-04-30,Maryland,20.0,4.0,45.0,26.0,43.0
72,2020-04-01 2020-04-30,Massachusetts,54.0,22.0,35.0,44.0,55.0
73,2020-04-01 2020-04-30,Michigan,29.0,25.0,76.0,9.0,49.0
74,2020-04-01 2020-04-30,Minnesota,62.0,13.0,62.0,0.0,32.0
75,2020-04-01 2020-04-30,Mississippi,44.0,25.0,55.0,0.0,43.0
76,2020-04-01 2020-04-30,Missouri,48.0,27.0,54.0,0.0,43.0
77,2020-04-01 2020-04-30,Montana,26.0,29.0,95.0,100.0,100.0
78,2020-04-01 2020-04-30,Nebraska,73.0,27.0,30.0,0.0,42.0
79,2020-04-01 2020-04-30,Nevada,45.0,8.0,65.0,29.0,37.0
80,2020-04-01 2020-04-30,New Hampshire,78.0,35.0,58.0,0.0,69.0
81,2020-04-01 2020-04-30,New Jersey,30.0,26.0,59.0,0.0,62.0
82,2020-04-01 2020-04-30,New Mexico,74.0,14.0,62.0,48.0,24.0
83,2020-04-01 2020-04-30,New York,33.0,16.0,41.0,15.0,48.0
84,2020-04-01 2020-04-30,North Carolina,35.0,36.0,40.0,16.0,36.0
85,2020-04-01 2020-04-30,North Dakota,100.0,0.0,41.0,0.0,81.0
86,2020-04-01 2020-04-30,Ohio,35.0,33.0,64.0,14.0,52.0
87,2020-04-01 2020-04-30,Oklahoma,14.0,47.0,44.0,0.0,21.0
88,2020-04-01 2020-04-30,Oregon,70.0,42.0,40.0,0.0,42.0
89,2020-04-01 2020-04-30,Pennsylvania,27.0,11.0,69.0,0.0,56.0
90,2020-04-01 2020-04-30,Rhode Island,38.0,21.0,0.0,0.0,56.0
91,2020-04-01 2020-04-30,South Carolina,50.0,11.0,100.0,0.0,25.0
92,2020-04-01 2020-04-30,South Dakota,97.0,36.0,80.0,0.0,0.0
93,2020-04-01 2020-04-30,Tennessee,18.0,32.0,66.0,28.0,43.0
94,2020-04-01 2020-04-30,Texas,31.0,14.0,68.0,0.0,35.0
95,2020-04-01 2020-04-30,Utah,42.0,31.0,96.0,0.0,27.0
96,2020-04-01 2020-04-30,Vermont,0.0,0.0,46.0,0.0,73.0
