state_abb,Not at all closely,Not very closely,Somewhat closely,Very closely,Error Margin,N,Wave
National,1.5,3.5,19.8,75.3,0.8,19369,1
AK,0,3.4,23.2,73.4,12.6,92,1
AL,0.8,5.2,17.5,76.5,4.9,416,1
AR,2.1,4.6,23.8,69.5,5.6,420,1
AZ,2,5.8,23.5,68.8,5.2,436,1
CA,2.2,2.5,17.6,77.7,4.2,718,1
CO,3.5,5.2,19.2,72.1,5,443,1
CT,0.5,2,17.1,80.4,4.9,322,1
DC,0.6,6.6,8.6,84.2,9.4,101,1
DE,1.1,3,16.5,79.4,6.2,303,1
FL,1.3,1.7,19.8,77.2,4.6,520,1
GA,1.5,3.3,18.8,76.4,4.6,459,1
HI,1.6,3.1,16.6,78.7,6.5,241,1
IA,2.1,3.6,24.4,70,5.2,428,1
ID,5.1,2.4,25.1,67.4,6.2,319,1
IL,0.5,5.6,19.1,74.8,4.9,469,1
IN,1.8,5.4,17.7,75.1,4.8,452,1
KS,1.4,1.5,23.8,73.2,5.5,440,1
KY,1.5,3.6,22.5,72.4,4.9,423,1
LA,1.8,2.8,24.1,71.3,5.6,416,1
MA,1.2,2.1,20.1,76.5,4.5,436,1
MD,1,1.3,13.8,83.8,4.7,367,1
ME,1.7,1.8,17.3,79.2,5,319,1
MI,1.6,3.1,14.9,80.5,4.1,477,1
MN,2.1,4.6,18,75.3,4.6,444,1
MO,3.3,4.2,20.1,72.3,4.9,425,1
MS,3.6,4.5,26.6,65.3,6.4,383,1
MT,0.3,4.6,30,65.1,7.3,214,1
NC,1.7,4.4,21.6,72.2,4.6,449,1
ND,2,4.8,30.9,62.3,10.8,165,1
NE,2.1,6.9,25.6,65.4,6.5,327,1
NH,1.3,1.1,20.3,77.3,5.5,349,1
NJ,1.2,1.7,13.5,83.5,4,474,1
NM,1,6.2,17,75.8,11.4,121,1
NV,1.1,4.2,16.3,78.3,5.1,434,1
NY,0.8,0.9,18.1,80.2,4,539,1
OH,1.5,2.8,20.6,75.1,4.3,469,1
OK,1.1,6.5,24.7,67.7,5.5,424,1
OR,1.3,2,17.9,78.7,4.4,442,1
PA,0.9,3,20.6,75.6,4.3,464,1
RI,0.9,2.7,19.2,77.2,6.1,296,1
SC,1.7,4.3,21.5,72.6,5,433,1
SD,0.4,4.2,25.6,69.8,8.8,180,1
TN,1.1,3.9,18.5,76.5,4.7,434,1
TX,0.3,3.3,19.2,77.2,4.6,533,1
UT,2,5.4,21.4,71.2,5.4,409,1
VA,0.4,3.8,20.9,74.9,4.5,464,1
VT,0,2.7,16.4,81,7.1,174,1
WA,1.3,4.8,19.9,74,5.5,367,1
WI,1.3,4.1,22,72.5,4.8,432,1
WV,2.7,3.7,18.2,75.4,5.4,362,1
WY,6.3,4.5,28.6,60.6,10.7,145,1
National,2.3,4.5,21.3,71.9,0.8,20201,2
AK,2.1,4.9,27,66.1,9.8,135,2
AL,3.9,3.5,22.4,70.3,5.9,383,2
AR,4.1,6.9,28.2,60.8,7,365,2
AZ,2.8,3.7,26.3,67.2,7.1,318,2
CA,0.7,4.3,16.9,78.1,3.7,729,2
CO,2.2,6.3,28.2,63.2,6.1,388,2
CT,1.4,4.3,18.7,75.7,5.6,356,2
DC,0.8,1.2,14.9,83,7.8,166,2
DE,1,2.5,17,79.5,5.2,338,2
FL,1.8,4.3,18.6,75.3,3.8,664,2
GA,3,2,17.6,77.4,4.6,493,2
HI,6.2,5.3,21.4,67.2,8.4,214,2
IA,1.6,4.1,28.6,65.8,5.7,387,2
ID,4.1,5.6,27.8,62.5,6.2,359,2
IL,2.8,6.5,20,70.7,4.5,529,2
IN,3.6,4.6,21.8,70,5.3,444,2
KS,2.2,5.2,25,67.5,5.6,438,2
KY,2.6,2.1,19.5,75.8,5.1,398,2
LA,2.2,3.7,19.6,74.5,5.9,390,2
MA,1.3,3.2,16.2,79.2,4.1,471,2
MD,0.2,2.5,16.5,80.8,4.6,400,2
ME,2.9,3.1,18.6,75.4,5,371,2
MI,1.2,3.1,23.1,72.6,4.4,523,2
MN,2.5,4.6,23.8,69.1,5.4,420,2
MO,3.4,5.2,23.8,67.7,4.8,478,2
MS,3.5,3.3,24.2,69,6.9,342,2
MT,2.1,6.9,28.6,62.4,7.3,256,2
NC,4,5.8,22.7,67.5,4.7,523,2
ND,4.2,7.1,27.2,61.4,8.4,210,2
NE,3,5.3,24,67.6,7.1,263,2
NH,2.8,4.4,19.5,73.3,5.1,370,2
NJ,2.5,2.5,19,76,4.1,541,2
NM,3.8,7.9,21.6,66.7,9.9,210,2
NV,2.3,6.1,21.8,69.7,5.7,395,2
NY,1.6,2.3,19.9,76.3,3.9,622,2
OH,2.4,4.5,19.5,73.6,4.3,527,2
OK,2.4,5.8,26.9,65,7,329,2
OR,2.4,5.5,27.6,64.5,5.3,410,2
PA,1.1,5.7,18.8,74.5,4,562,2
RI,1.1,2,14.3,82.6,5.1,316,2
SC,3.2,6.9,21,69,5.7,422,2
SD,3.8,3.9,27.9,64.3,7.7,230,2
TN,2.6,4.8,23.8,68.7,5.2,452,2
TX,1.1,3.1,22.9,72.9,4.8,582,2
UT,2.4,7,27.4,63.1,6.9,312,2
VA,2,2.9,22.7,72.4,4.3,511,2
VT,1.4,5.4,21.7,71.6,7,239,2
WA,1.8,3,20.2,75.1,4.8,434,2
WI,1.8,6.2,21.3,70.8,4.5,547,2
WV,1.5,3.8,21.4,73.3,6,325,2
WY,6.8,9,35.3,48.9,12.7,114,2
AK,5.4,19.8,26.9,47.8,13.1,104,3
AL,5.3,5.8,27.7,61.3,6.8,354,3
AR,5.3,12.9,30.4,51.4,7.3,296,3
AZ,3.4,5,24.1,67.5,5.2,477,3
CA,1.7,4.9,21,72.3,3.8,864,3
CO,3.3,6.9,24.4,65.4,5.6,389,3
CT,1.5,2.6,21.3,74.6,7.5,242,3
DC,0,1.4,24.6,74.1,10.9,119,3
DE,3.6,1.9,17.3,77.2,6.3,258,3
FL,3,5.7,23.2,68.1,4.5,603,3
GA,1.3,6,26.8,65.9,5.6,428,3
HI,4.5,4.1,26.1,65.3,7.4,271,3
IA,3,8,27,62,7.3,241,3
ID,5.9,12.4,31.7,50,6.1,367,3
IL,3,4.9,22.9,69.2,4.3,517,3
IN,3.9,6.8,28,61.2,6,376,3
KS,3.3,6.2,21.9,68.6,7.2,237,3
KY,2.9,6,25.9,65.2,6.5,331,3
LA,3.2,5,22,69.7,6.3,357,3
MA,1.2,4.7,24.3,69.8,5,434,3
MD,0.5,3.2,14.5,81.8,4.7,396,3
ME,2.4,5.1,20.2,72.3,5.2,366,3
MI,2.4,4.4,21.7,71.6,4.8,477,3
MN,3.1,4.9,27.8,64.2,6.3,337,3
MO,4.5,4.5,25.1,65.8,5.3,450,3
MS,3.1,5.1,24.5,67.3,8.7,228,3
MT,10,5.5,29.9,54.6,11.5,129,3
NC,2.4,5.8,23.9,67.9,5.1,507,3
ND,2.1,8.2,35.4,54.2,9.2,210,3
NE,3.9,5.8,23.2,67.2,9.4,158,3
NH,2.3,3,19,75.6,5.2,349,3
NJ,2,3.4,21.1,73.5,4.2,524,3
NM,1.4,10.2,22.2,66.2,10.6,163,3
NV,2.4,4.3,24.7,68.5,7,279,3
NY,1.9,3.9,22.4,71.8,4.3,615,3
OH,4.9,7.7,25.2,62.3,5.1,478,3
OK,5.1,8.2,25.2,61.5,7.2,284,3
OR,3.9,7.8,25.6,62.8,5.3,411,3
PA,2.2,6.4,21.1,70.2,4.2,538,3
RI,0.4,2,14.5,83.2,7,175,3
SC,2.5,5.7,30.9,60.9,6.2,345,3
SD,2,9.9,28.2,59.9,8.8,178,3
TN,3.6,5.9,29.3,61.2,5.7,390,3
TX,1.3,5.2,24,69.5,4.6,618,3
UT,1.6,9.2,27.3,61.8,8,270,3
VA,1.8,5.5,21.9,70.8,4.7,455,3
VT,1.7,4.4,17.8,76.1,7.6,163,3
WA,2.6,6.1,24,67.2,4.8,489,3
WI,2.1,6.6,27.4,63.8,5.6,418,3
WV,4.7,4.1,28,63.2,9,195,3
WY,11.6,10,27.9,50.5,11.2,107,3
National,4.2,8.6,27.3,59.9,0.8,22352,5
AK,2.8,14.7,29.8,52.8,10.8,167,5
AL,4.9,9,30.1,56,6,411,5
AR,3.7,10.7,36,49.6,7,381,5
AZ,3.9,8.5,29.5,58.2,5.3,594,5
CA,3.6,6.9,21.8,67.7,4,843,5
CO,8.9,8.1,30.9,52.1,5.8,482,5
CT,3.3,8.3,25.3,63,5.8,417,5
DC,0.9,7.8,19.8,71.5,6,302,5
DE,0.8,6.1,25.6,67.5,6,352,5
FL,3.9,6,26.4,63.7,4.2,834,5
GA,5.2,9.7,28,57.1,5.5,498,5
HI,3.1,8.4,34.6,54,6.3,449,5
IA,4.4,11.7,25.9,58,6.1,414,5
ID,7.9,13.1,33.9,45,6.4,353,5
IL,5.5,8.4,25.3,60.7,4.8,550,5
IN,3.1,11.3,27.9,57.6,5.8,487,5
KS,4.2,12.5,27.4,56,6.5,376,5
KY,3.9,9.7,32.2,54.1,6,441,5
LA,4.1,7.5,25.6,62.8,6.6,395,5
MA,1.8,7.4,28.1,62.6,5.2,464,5
MD,1,3.3,23,72.7,4.8,455,5
ME,4.5,8.4,24.1,63.1,6,376,5
MI,3.7,6.4,27.6,62.2,5.2,463,5
MN,8.1,9.3,30.5,52.1,5.2,490,5
MO,5.6,10.8,26.9,56.6,5.5,482,5
MS,2.6,8,33.5,55.9,6.9,340,5
MT,6.4,17.6,35.9,40.1,6.8,295,5
NC,8.4,6.8,25.7,59,5,541,5
ND,9.6,15.4,40.7,34.3,9.2,189,5
NE,5.7,15.6,31,47.8,6.3,379,5
NH,3.7,11,26.5,58.8,5.7,369,5
NJ,2.1,4.5,22.7,70.7,4.6,499,5
NM,5,7.5,27.5,60,8.5,308,5
NV,3.8,10.1,28.4,57.7,6.3,389,5
NY,2.4,4.8,22.4,70.4,4.1,653,5
OH,4.9,8.4,27.9,58.9,4.5,575,5
OK,6.5,7,33.6,53,7.3,360,5
OR,6,7,30.4,56.6,5.7,444,5
PA,5.4,7.2,26.9,60.6,4.4,600,5
RI,3.8,5.8,24.6,65.8,6.3,307,5
