,state,wave,Avoiding contact with other people: Not at all closely,Avoiding contact with other people: Not very closely,Avoiding contact with other people: Somewhat closely,Avoiding contact with other people: Very closely,Avoiding contact with other people: Error Margin,Avoiding contact with other people: N,Avoiding public or crowded places: Not at all closely,Avoiding public or crowded places: Not very closely,Avoiding public or crowded places: Somewhat closely,Avoiding public or crowded places: Very closely,Avoiding public or crowded places: Error Margin,Avoiding public or crowded places: N,Frequently washing hands: Not at all closely,Frequently washing hands: Not very closely,Frequently washing hands: Somewhat closely,Frequently washing hands: Very closely,Frequently washing hands: Error Margin,Frequently washing hands: N,Disinfecting often: Not at all closely,Disinfecting often: Not very closely,Disinfecting often: Somewhat closely,Disinfecting often: Very closely,Disinfecting often: Error Margin,Disinfecting often: N,Wearing a face mask when outside of your home: Not at all closely,Wearing a face mask when outside of your home: Not very closely,Wearing a face mask when outside of your home: Somewhat closely,Wearing a face mask when outside of your home: Very closely,Wearing a face mask when outside of your home: Error Margin,Wearing a face mask when outside of your home: N
0,National,1,1.7,4.2,26.3,67.8,0.9,19393,1.5,3.5,19.8,75.3,0.8,19369,1.0,3.0,15.6,80.4,0.7,19358,2.9,9.2,26.8,61.2,0.9,19336,14.8,12.1,18.8,54.3,0.9,19344
1,AK,1,3.2,1.4,39.1,56.2,14.2,92,0.0,3.4,23.2,73.4,12.6,92,0.0,1.0,16.4,82.6,10.8,92,0.4,4.6,29.1,65.8,13.6,92,18.8,8.6,23.4,49.3,14.3,92
2,AL,1,1.3,3.8,28.0,67.0,5.4,418,0.8,5.2,17.5,76.5,4.9,416,1.1,2.7,15.4,80.8,4.5,418,2.0,7.2,23.4,67.4,5.4,417,14.7,14.0,20.9,50.4,5.8,416
3,AR,1,1.7,5.8,34.1,58.4,6.0,423,2.1,4.6,23.8,69.5,5.6,420,1.4,3.4,14.5,80.8,4.8,421,1.6,11.3,29.7,57.3,6.1,418,23.5,16.4,17.7,42.4,6.0,420
4,AZ,1,1.5,6.0,29.0,63.5,5.4,439,2.0,5.8,23.5,68.8,5.2,436,1.2,3.3,15.5,80.0,4.5,440,3.1,10.2,27.2,59.5,5.5,440,20.4,12.6,19.8,47.2,5.6,440
5,CA,1,2.0,3.2,21.0,73.8,4.4,716,2.2,2.5,17.6,77.7,4.2,718,2.0,3.2,15.1,79.8,4.1,715,4.4,11.5,26.3,57.7,5.0,709,6.8,6.9,15.0,71.3,4.6,715
6,CO,1,3.0,5.8,26.6,64.5,5.4,443,3.5,5.2,19.2,72.1,5.0,443,2.9,3.5,21.6,72.0,5.0,443,3.0,12.2,26.6,58.1,5.5,443,13.8,12.4,17.7,56.0,5.6,442
7,CT,1,0.8,2.2,22.8,74.1,5.4,323,0.5,2.0,17.1,80.4,4.9,322,0.0,3.9,15.3,80.8,4.9,322,2.6,12.1,21.2,64.2,6.0,320,9.2,9.3,17.3,64.2,6.0,320
8,DC,1,0.6,1.9,28.8,68.8,11.8,102,0.6,6.6,8.6,84.2,9.4,101,3.8,1.8,14.2,80.2,10.3,101,1.4,10.8,21.7,66.1,12.1,102,0.8,4.2,22.0,73.0,11.4,101
9,DE,1,0.8,2.7,25.8,70.8,7.0,303,1.1,3.0,16.5,79.4,6.2,303,0.6,2.6,17.3,79.5,6.2,302,1.9,8.8,26.5,62.7,7.4,302,10.2,9.5,19.4,60.9,7.5,302
